module,related_mods
CE2183,"['TCE2183', 'CE5804', 'CE5805', 'CE5806']"
CE2407,"['TCE2407', 'EE3801', 'EE4802', 'IE2100', 'IE3101', 'IE4211', 'CE6077A', 'CE6077C', 'CE3121', 'CE4258']"
CE3115,"['CE2112', 'TCE3115']"
CE3116,"['CE2112', 'TCE3116', 'CE5107']"
CE3121,"['CE2407', 'TCE3121', 'CE5203', 'CE5205', 'CE5209', 'CE4221']"
CE3132,"['CE2134', 'TCE3132', 'CE5312', 'CE5315', 'CE5316A']"
CE3155,"['CE2155', 'TCE3155', 'CE3165', 'CE3166', 'CE4257', 'CE4258']"
CE3165,"['CE3155', 'TCE3165', 'CE5510', 'CE5610']"
CE3166,"['CE2155', 'CE3155', 'TCE3166', 'CE5509']"
CE4103,['TCE4103']
CE4104,['TCE4104']
CE4221,['CE3121']
CE4257,['CE3155']
CE4257B,['CE4257A']
CE4258,"['CE2407', 'CE3155']"
CE5104,['CE2112']
CE5106,['CE2112']
CE5106B,['CE5106A']
CE5107,"['CE2112', 'CE3116', 'TCE5107']"
CE5107B,['CE5107A']
CE5108,"['CE2112', 'CE5112']"
CE5108B,['CE5108A']
CE5112,['CE5108']
CE5113B,['CE5113A']
CE5203,['CE3121']
CE5205,['CE3121']
CE5209,['CE3121']
CE5307A,['CE5308']
CE5308,['CE5307A']
CE5312,['CE3132']
CE5315,['CE3132']
CE5316A,['CE3132']
CE5316B,['CE5316A']
CE5316C,['CE5316A']
CE5509,['CE3166']
CE5510,"['CE3165', 'TCE5510']"
CE5510B,['CE5510A']
CE5513,['CE2155']
CE5604,"['CE2155', 'TCE5604']"
CE5610,['CE3165']
CE5611,['CE5610']
CE5804,['CE2183']
CE5805,['CE2183']
CE5806,['CE2183']
CE5808,"['CE5808A', 'CE5808B']"
CE6077A,['CE2407']
CE6077B,['CE2134']
CE6077C,['CE2407']
CFG1002,['CFG2002']
CFG2002,['CFG1002']
CG1111,"['EE2026', 'EE2029', 'CG1112', 'CG2027']"
CG1112,"['CS1010', 'CG1111']"
CG2023,"['MA1512', 'EE2023', 'EE4704', 'EE4205']"
CG2027,"['CG1111', 'EE3431C']"
CG2028,"['CS1010', 'CS3210', 'CS3237', 'CG4002']"
